*SUMMARY : KSGC3038SN FINNEY COUNTY MODELING                                       DSSAT Cropping System Model Ver. 4.7.1.001 -release      JUL 23, 2019; 16:38:07

!IDENTIFIERS......................... EXPERIMENT AND TREATMENT.......... SITE INFORMATION............ DATES..........................................  DRY WEIGHT, YIELD AND YIELD COMPONENTS........................................  WATER...............................................  NITROGEN............................................  PHOSPHORUS............  POTASSIUM.............  ORGANIC MATTER..........................................    WATER PRODUCTIVITY..................................................    NITROGEN PRODUCTIVITY...........  SEASONAL ENVIRONMENTAL DATA (Planting to harvest)..............
@   RUNNO   TRNO R# O# C# CR MODEL... EXNAME.. TNAM..................... FNAM.... WSTA.... SOIL_ID...    SDAT    PDAT    EDAT    ADAT    MDAT    HDAT  DWAP    CWAM    HWAM    HWAH    BWAH  PWAM    HWUM    H#AM    H#UM  HIAM  LAIX  IR#M  IRCM  PRCM  ETCM  EPCM  ESCM  ROCM  DRCM  SWXM  NI#M  NICM  NFXM  NUCM  NLCM  NIAM  CNAM  GNAM N2OEC  PI#M  PICM  PUPC  SPAM  KI#M  KICM  KUPC  SKAM  RECM  ONTAM   ONAM  OPTAM   OPAM   OCTAM    OCAM   CO2EC    DMPPM    DMPEM    DMPTM    DMPIM     YPPM     YPEM     YPTM     YPIM    DPNAM    DPNUM    YPNAM    YPNUM  NDCH TMAXA TMINA SRADA DAYLA   CO2A   PRCP   ETCP   ESCP   EPCP
       11      1  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_2               FNYCO001 GRRD9101 KS00000005 1991061 1991130 1991136 1991205 1991277 1991277   -99   28816   17586   17586   11300 22980  0.3107    5659   744.7 0.610   4.3    12   300   422   757   502   254    18    39   139     1   250     0   350     2    59   267   234   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19796  19796      0      0  226522  226522     -99     81.8     43.1     57.4     96.1     49.9     26.3     35.0     58.6    115.3     82.3     70.3     50.2   147  30.4  15.3  28.1  13.7  380.0  352.2  668.0  167.1  502.4
       12      1  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_2               FNYCO001 GRRD9201 KS00000005 1992061 1992130 1992137 1992223 1992316 1992316   -99   28317   15904   15904   12488 22200  0.3036    5238   689.3 0.562   4.6     9   225   422   738   469   269     8     0   144     1   250     0   384     0    47   290   224   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19787  19787      0      0  226616  226616     -99     70.9     41.5     60.4    125.9     39.8     23.3     33.9     70.7    113.3     73.7     63.6     41.4   186  25.7  11.3  25.2  13.1  380.0  399.4  682.6  213.5  469.0
       13      1  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_2               FNYCO001 GRRD9301 KS00000005 1993061 1993130 1993139 1993214 1993309 1993309   -99   28934   17258   17258   11748 22951  0.3194    5402   710.8 0.596   4.4     9   225   511   781   487   294    10    25   163     1   250     0   373     0    44   285   229   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19800  19800      0      0  226696  226696     -99     73.2     43.2     59.4    128.6     43.7     25.8     35.4     76.7    115.7     77.6     69.0     46.3   179  26.8  11.9  26.0  13.2  380.0  395.0  670.0  183.0  487.0
       14      1  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_2               FNYCO001 GRRD9401 KS00000005 1994061 1994130 1994137 1994208 1994289 1994289   -99   28953   17025   17025   12000 22931  0.3016    5645   742.8 0.588   4.4    12   300   432   803   532   271     5    12   144     1   250     0   345     0    72   250   214   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19794  19794      0      0  226596  226596     -99     80.6     40.4     54.5     96.5     47.4     23.8     32.0     56.8    115.8     83.9     68.1     49.3   159  30.1  13.5  27.8  13.5  380.0  359.1  716.0  185.3  531.6
       15      1  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_2               FNYCO001 GRRD9501 KS00000005 1995061 1995130 1995140 1995223 1995305 1995305   -99   23215   12053   12053   11237 16796  0.2207    5462   718.6 0.519   4.6    10   250   521   741   431   309    14   104   152     1   250     0   332     4    80   249   182   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19790  19790      0      0  226444  226444     -99     59.5     35.5     53.8     92.9     30.9     18.4     27.9     48.2     92.9     69.9     48.2     36.3   175  27.9  11.5  25.7  13.2  380.0  390.5  654.3  222.8  431.5
       16      1  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_2               FNYCO001 GRRD9601 KS00000005 1996061 1996130 1996138 1996212 1996301 1996301   -99   30256   18299   18299   12031 24105  0.3350    5463   718.8 0.605   4.5     7   175   457   714   487   228     8    10   150     1   250     0   366     1    50   281   235   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19796  19796      0      0  226622  226622     -99     72.0     46.6     62.2    172.9     43.6     28.2     37.6    104.6    121.0     82.7     73.2     50.0   171  27.8  12.4  26.2  13.3  380.0  420.0  648.8  162.3  486.5
       17      1  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_2               FNYCO001 GRRD9701 KS00000005 1997061 1997130 1997138 1997213 1997283 1997283   -99   26742   15142   15142   11669 20308  0.3127    4842   637.1 0.566   4.3     9   225   513   736   488   248    35    52   158     1   250     0   355     3    60   267   227   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19788  19788      0      0  226413  226413     -99     57.6     40.0     54.8    118.9     32.6     22.6     31.0     67.3    107.0     75.3     60.6     42.7   153  29.4  14.6  27.2  13.6  380.0  464.3  669.2  183.4  487.8
       18      1  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_2               FNYCO001 GRRD9801 KS00000005 1998061 1998130 1998137 1998200 1998259 1998259   -99   23668   13520   13520   10199 17768  0.2732    4948   651.1 0.571   3.1     7   175   420   680   422   258     5    15   145     1   250     0   325     0    66   261   221   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19806  19806      0      0  226521  226521     -99     79.2     41.0     56.1    135.2     45.2     23.4     32.0     77.3     94.7     72.8     54.1     41.6   129  32.0  15.5  29.5  13.9  380.0  299.0  577.1  157.2  422.2
       19      1  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_2               FNYCO001 GRRD9901 KS00000005 1999061 1999130 1999139 1999211 1999288 1999288   -99   25997   15276   15276   10792 20196  0.3029    5043   663.6 0.588   4.4    10   250   516   794   473   320    16    49   146     1   250     0   336     3    74   251   212   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19795  19795      0      0  226542  226542     -99     67.4     39.1     54.9    104.0     39.6     23.0     32.3     61.1    104.0     77.4     61.1     45.5   158  29.0  13.7  27.0  13.5  380.0  385.9  664.2  191.3  473.2
       20      1  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_2               FNYCO001 GRRD0001 KS00000005 2000061 2000130 2000137 2000209 2000266 2000266   -99   25828   13729   13729   12168 19013  0.2358    5822   766.1 0.532   4.2    15   375   349   733   498   235     3    70   138     1   250     0   333     1    68   250   208   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19800  19800      0      0  226541  226541     -99    159.6     42.8     51.8     68.9     84.9     22.8     27.6     36.6    103.3     77.6     54.9     41.2   136  32.9  15.4  29.0  13.8  380.0  161.8  603.3  107.7  498.2
