*SUMMARY : KSGC3038SN FINNEY COUNTY MODELING                                       DSSAT Cropping System Model Ver. 4.7.1.001 -release      JUL 23, 2019; 16:38:07

!IDENTIFIERS......................... EXPERIMENT AND TREATMENT.......... SITE INFORMATION............ DATES..........................................  DRY WEIGHT, YIELD AND YIELD COMPONENTS........................................  WATER...............................................  NITROGEN............................................  PHOSPHORUS............  POTASSIUM.............  ORGANIC MATTER..........................................    WATER PRODUCTIVITY..................................................    NITROGEN PRODUCTIVITY...........  SEASONAL ENVIRONMENTAL DATA (Planting to harvest)..............
@   RUNNO   TRNO R# O# C# CR MODEL... EXNAME.. TNAM..................... FNAM.... WSTA.... SOIL_ID...    SDAT    PDAT    EDAT    ADAT    MDAT    HDAT  DWAP    CWAM    HWAM    HWAH    BWAH  PWAM    HWUM    H#AM    H#UM  HIAM  LAIX  IR#M  IRCM  PRCM  ETCM  EPCM  ESCM  ROCM  DRCM  SWXM  NI#M  NICM  NFXM  NUCM  NLCM  NIAM  CNAM  GNAM N2OEC  PI#M  PICM  PUPC  SPAM  KI#M  KICM  KUPC  SKAM  RECM  ONTAM   ONAM  OPTAM   OPAM   OCTAM    OCAM   CO2EC    DMPPM    DMPEM    DMPTM    DMPIM     YPPM     YPEM     YPTM     YPIM    DPNAM    DPNUM    YPNAM    YPNUM  NDCH TMAXA TMINA SRADA DAYLA   CO2A   PRCP   ETCP   ESCP   EPCP
      159      6  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_12              FNYCO001 GRRD9401 KS00000005 1994061 1994130 1994137 1994208 1994289 1994289   -99   25911   13983   13983   12000 19889  0.2477    5645   742.8 0.540   4.4     9   225   432   753   481   272     5    12   130     1   250     0   303     0   101   211   177   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19807  19807      0      0  226849  226849     -99     72.2     38.9     53.9    115.2     38.9     21.0     29.1     62.1    103.6     85.5     55.9     46.1   159  30.1  13.5  27.8  13.5  380.0  359.1  666.2  186.1  480.8
      160      6  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_12              FNYCO001 GRRD9501 KS00000005 1995061 1995130 1995140 1995223 1995305 1995305   -99   19453    8494    8494   11033 13033  0.1571    5405   711.2 0.437   4.6     7   175   521   704   355   349    12   104   126     1   250     0   279     4   120   206   137   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19800  19800      0      0  226604  226604     -99     49.8     31.5     54.8    111.2     21.8     13.8     23.9     48.5     77.8     69.7     34.0     30.4   175  27.9  11.5  25.7  13.2  380.0  390.5  617.0  262.2  354.8
      161      6  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_12              FNYCO001 GRRD9601 KS00000005 1996061 1996130 1996138 1996212 1996301 1996301   -99   30216   18259   18259   12031 24064  0.3342    5463   718.8 0.604   4.5     7   175   457   707   486   221     8    10   157     1   250     0   364     1    52   279   233   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19797  19797      0      0  226640  226640     -99     71.9     47.1     62.2    172.7     43.5     28.5     37.6    104.3    120.9     83.0     73.0     50.2   171  27.8  12.4  26.2  13.3  380.0  420.0  641.5  155.5  486.0
      162      6  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_12              FNYCO001 GRRD9701 KS00000005 1997061 1997130 1997138 1997213 1997283 1997283   -99   24569   13333   13333   11305 17635  0.3127    4264   561.0 0.543   4.2     6   150   513   725   478   247    35    50   107     1   250     0   340     3    66   246   203   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19800  19800      0      0  226647  226647     -99     52.9     37.3     51.4    163.8     28.7     20.2     27.9     88.9     98.3     72.3     53.3     39.2   153  29.4  14.6  27.2  13.6  380.0  464.3  658.8  182.3  478.4
      163      6  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_12              FNYCO001 GRRD9801 KS00000005 1998061 1998130 1998137 1998200 1998259 1998259   -99   22131   12245   12245    9938 16169  0.2583    4740   623.7 0.553   3.1     4   100   420   648   399   248     3    15   115     1   250     0   309     0    75   245   204   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19813  19813      0      0  226659  226659     -99     74.0     40.6     55.4    221.3     41.0     22.5     30.7    122.4     88.5     71.6     49.0     39.6   129  32.0  15.5  29.5  13.9  380.0  299.0  545.0  147.9  399.3
      164      6  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_12              FNYCO001 GRRD9901 KS00000005 1999061 1999130 1999139 1999211 1999288 1999288   -99   23515   12891   12891   10695 17714  0.2556    5043   663.6 0.548   4.4     7   175   516   742   405   337    15    49   135     1   250     0   296     3   102   222   178   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19804  19804      0      0  226691  226691     -99     60.9     38.4     58.1    134.4     33.4     21.0     31.8     73.7     94.1     79.4     51.6     43.6   158  29.0  13.7  27.0  13.5  380.0  385.9  612.6  207.9  404.9
      165      6  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_12              FNYCO001 GRRD0001 KS00000005 2000061 2000130 2000137 2000209 2000266 2000266   -99   19268    8481    8481   10855 13624  0.1468    5776   760.0 0.440   3.9     7   175   349   599   361   237     3    70   103     1   250     0   268     1   117   199   152   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19812  19812      0      0  226744  226744     -99    119.1     41.1     53.3    110.1     52.4     18.1     23.5     48.5     77.1     71.9     33.9     31.6   136  32.9  15.4  29.0  13.8  380.0  161.8  469.1  109.8  361.4
      166      6  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_12              FNYCO001 GRRD0101 KS00000005 2001061 2001130 2001136 2001208 2001272 2001272   -99   20328   11691   11691    8703 14986  0.2706    4320   568.4 0.575   3.8     7   175   470   745   444   301    21   105    24     1   250     0   237     6   137   167   138   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19822  19822      0      0  226940  226940     -99     56.4     31.8     45.8    116.2     32.4     18.3     26.3     66.8     81.3     85.8     46.8     49.3   142  31.9  15.2  28.8  13.8  380.0  360.7  639.3  197.4  443.8
      167      6  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_12              FNYCO001 GRRD0201 KS00000005 2002061 2002130 2002139 2002208 2002275 2002275   -99   20861   11338   11338    9588 14533  0.2712    4180   550.0 0.544   3.6     8   200   239   571   375   196     0     0   114     1   250     0   295     0    92   227   187   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19812  19812      0      0  226783  226783     -99    110.5     40.9     55.6    104.3     60.1     22.2     30.2     56.7     83.4     70.7     45.4     38.4   145  31.4  15.3  28.2  13.7  380.0  188.8  510.1  136.5  375.4
      168      6  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_12              FNYCO001 GRRD0301 KS00000005 2003061 2003130 2003138 2003210 2003283 2003283   -99   18036   10328   10328    7766 12518  0.3058    3378   444.4 0.573   3.2     8   200   382   676   360   316     4    33   116     1   250     0   294     1    98   224   177   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19806  19806      0      0  226695  226695     -99     65.0     31.4     50.1     90.2     37.2     18.0     28.7     51.6     72.1     61.3     41.3     35.1   153  30.2  14.1  27.7  13.6  380.0  277.5  574.9  216.5  360.0
      169      6  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_12              FNYCO001 GRRD0401 KS00000005 2004061 2004130 2004139 2004216 2004307 2004307   -99   29643   17447   17447   12271 23315  0.3127    5580   734.2 0.589   4.6     4   100   576   758   515   244    12    48   119     1   250     0   372     2    56   272   224   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19786  19786      0      0  226572  226572     -99     63.3     44.9     57.6    296.4     37.2     26.4     33.9    174.5    118.6     79.7     69.8     46.9   177  28.1  12.4  26.2  13.2  380.0  468.4  660.3  145.7  514.7
      170      6  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_12              FNYCO001 GRRD0501 KS00000005 2005061 2005130 2005138 2005207 2005271 2005271   -99   22279   11237   11237   11113 14410  0.2793    4023   529.3 0.504   4.3     6   150   344   688   449   239     2     5    53     1   250     0   282     0   111   202   157   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19809  19809      0      0  226796  226796     -99     74.3     36.1     49.6    148.5     37.5     18.2     25.0     74.9     89.1     79.0     44.9     39.8   141  31.6  15.0  28.8  13.8  380.0  299.8  616.8  170.3  448.8
      171      6  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_12              FNYCO001 GRRD0601 KS00000005 2006061 2006130 2006139 2006207 2006277 2006277   -99   25626   15208   15208   10495 18710  0.2962    5135   675.6 0.593   4.7     6   150   386   726   496   230     3     0    61     1   250     0   313     0    96   228   191   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19797  19797      0      0  226668  226668     -99     84.1     40.4     51.6    170.8     49.9     24.0     30.6    101.4    102.5     81.9     60.8     48.6   147  31.5  14.9  28.3  13.7  380.0  304.8  634.3  139.9  496.5
      172      6  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_12              FNYCO001 GRRD0701 KS00000005 2007061 2007130 2007137 2007210 2007270 2007270   -99   18672    8598    8598   10138 11757  0.2054    4185   550.7 0.460   3.9     6   150   367   635   376   259     2    14   120     1   250     0   296     0    94   221   152   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19807  19807      0      0  226636  226636     -99     74.9     36.6     49.7    124.5     34.5     16.9     22.9     57.3     74.7     63.1     34.4     29.0   140  31.5  15.4  28.9  13.8  380.0  249.3  509.8  136.8  375.6
      173      6  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_12              FNYCO001 GRRD0801 KS00000005 2008061 2008130 2008140 2008210 2008285 2008285   -99   21794   13653   13653    8208 16365  0.3383    4036   531.0 0.626   4.0     8   200   296   671   438   232     1     0    71     1   250     0   303     0    90   216   186   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19815  19815      0      0  226985  226985     -99    102.9     37.3     49.7    109.0     64.5     23.4     31.2     68.3     87.2     71.9     54.6     45.1   155  30.2  13.9  27.7  13.6  380.0  211.8  584.5  147.8  438.3
      174      6  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_12              FNYCO001 GRRD0901 KS00000005 2009061 2009130 2009139 2009208 2009292 2009292   -99   24345   14646   14646    9759 19425  0.2888    5071   667.2 0.602   3.7     8   200   474   742   447   295    12    50   117     1   250     0   311     1    86   230   194   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19812  19812      0      0  226938  226938     -99     77.5     39.2     54.5    121.7     46.6     23.6     32.8     73.2     97.4     78.3     58.6     47.1   162  28.3  12.5  26.5  13.5  380.0  314.1  620.6  173.6  447.0
      175      7  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_14              FNYCO001 GRRD8101 KS00000005 1981061 1981130 1981143 1981212 1981289 1981289   -99   25825   15420   15420   10471 20604  0.2750    5606   737.7 0.597   3.8     7   175   396   693   429   264     2    17   109     1   250     0   303     1    96   228   201   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19806  19806      0      0  226794  226794     -99     93.1     43.9     60.2    147.6     55.6     26.2     36.0     88.1    103.3     85.2     61.7     50.9   159  28.7  13.7  27.0  13.5  380.0  277.3  588.6  160.3  428.8
      176      7  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_14              FNYCO001 GRRD8201 KS00000005 1982061 1982130 1982140 1982216 1982307 1982307   -99   25654   14947   14947   10774 19582  0.2747    5440   715.8 0.583   4.3     6   150   487   736   436   300    13    39   103     1   250     0   294     1   114   220   183   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19798  19798      0      0  226697  226697     -99     63.3     39.2     58.8    171.0     36.9     22.8     34.3     99.6    102.6     87.3     59.8     50.8   177  27.1  12.3  25.8  13.2  380.0  405.3  654.2  217.9  436.3
      177      7  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_14              FNYCO001 GRRD8301 KS00000005 1983061 1983130 1983145 1983222 1983294 1983294   -99   11501    5302    5302    6264  6402  0.2766    1917   252.2 0.461   3.6     7   175   354   632   284   348     2    39   106     1   250     0   202     1   179   136    91   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19805  19805      0      0  226488  226488     -99     42.5     21.5     40.5     65.7     19.6      9.9     18.7     30.3     46.0     56.9     21.2     26.2   164  29.3  13.6  27.0  13.4  380.0  270.7  534.4  250.2  284.3
      178      7  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_14              FNYCO001 GRRD8401 KS00000005 1984061 1984130 1984137 1984211 1984285 1984285   -99   14721    7302    7302    7479 10153  0.2019    3617   475.9 0.496   3.2     7   175   326   599   295   304     3    28   122     1   250     0   242     0   130   177   131   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19826  19826      0      0  226905  226905     -99     92.2     32.5     50.0     84.1     45.7     16.1     24.8     41.7     58.9     60.8     29.2     30.2   155  30.0  13.8  27.9  13.6  380.0  159.7  452.4  157.8  294.7
      179      7  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_14              FNYCO001 GRRD8501 KS00000005 1985061 1985130 1985140 1985214 1985280 1985280   -99   24039   14027   14027   10074 18918  0.2544    5514   725.5 0.583   3.6     6   150   430   653   417   236    13    17   151     1   250     0   333     0    70   250   208   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19805  19805      0      0  226739  226739     -99     75.6     43.8     57.7    160.3     44.1     25.6     33.6     93.5     96.2     72.2     56.1     42.1   150  29.0  13.0  27.9  13.6  380.0  317.8  548.8  131.9  416.9
      180      7  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_14              FNYCO001 GRRD8601 KS00000005 1986061 1986130 1986137 1986210 1986282 1986282   -99   23380   12818   12818   10630 17563  0.2235    5736   754.7 0.548   4.3     6   150   312   629   397   232     3     0    84     1   250     0   280     0   121   206   175   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19802  19802      0      0  226713  226713     -99     87.9     41.3     58.9    155.9     48.2     22.7     32.3     85.5     93.5     83.5     51.3     45.8   152  29.6  15.0  27.5  13.6  380.0  265.9  565.9  169.7  397.1
      181      7  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_14              FNYCO001 GRRD8701 KS00000005 1987061 1987130 1987136 1987214 1987306 1987306   -99   26168   14259   14259   11991 19291  0.2585    5515   725.7 0.545   4.8     7   175   464   776   478   299    10    46    58     1   250     0   312     1    93   213   174   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19811  19811      0      0  227036  227036     -99     76.8     38.8     54.8    149.5     41.8     21.1     29.9     81.5    104.7     83.9     57.0     45.7   176  28.3  12.8  26.6  13.2  380.0  340.9  675.2  197.6  477.6
      182      7  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_14              FNYCO001 GRRD8801 KS00000005 1988061 1988130 1988136 1988210 1988279 1988279   -99   11220    4126    4126    7158  5376  0.2753    1498   197.2 0.368   3.4     7   175   260   535   299   237     1     2   147     1   250     0   202     0   186   136    72   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19802  19802      0      0  226383  226383     -99     56.1     24.6     37.6     64.1     20.6      9.1     13.8     23.6     44.9     55.5     16.5     20.4   149  30.5  14.6  27.3  13.7  380.0  200.0  455.8  157.7  298.6
      183      7  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_14              FNYCO001 GRRD8901 KS00000005 1989061 1989130 1989140 1989216 1989298 1989298   -99   21924   12853   12853    9136 16055  0.3572    3599   473.5 0.586   4.0     7   175   469   728   421   307    13    39   115     1   250     0   342     2    63   247   199   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19805  19805      0      0  226851  226851     -99     51.7     33.3     52.1    125.3     30.3     19.5     30.5     73.4     87.7     64.1     51.4     37.6   168  27.0  12.2  26.2  13.4  380.0  423.9  657.9  236.8  421.1
      184      7  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_14              FNYCO001 GRRD9001 KS00000005 1990061 1990130 1990139 1990216 1990294 1990294   -99   19207    8788    8788   10484 14187  0.1688    5207   685.1 0.458   3.3     8   200   365   640   336   304    12    40   119     1   250     0   256     1   131   189   153   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19812  19812      0      0  226795  226795     -99     81.1     37.3     57.1     96.0     37.1     17.0     26.1     43.9     76.8     75.0     35.2     34.3   164  29.4  13.3  27.4  13.4  380.0  236.9  515.5  179.3  336.2
      185      7  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_14              FNYCO001 GRRD9101 KS00000005 1991061 1991130 1991136 1991205 1991277 1991277   -99   23316   13255   13255   10129 16888  0.3077    4307   566.8 0.568   4.1     6   150   422   708   451   257    13    39    65     1   250     0   300     2    91   215   179   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19814  19814      0      0  226898  226898     -99     66.2     37.6     51.7    155.4     37.6     21.4     29.4     88.4     93.3     77.7     53.0     44.2   147  30.4  15.3  28.1  13.7  380.0  352.2  620.3  170.6  451.1
      186      7  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_14              FNYCO001 GRRD9201 KS00000005 1992061 1992130 1992137 1992223 1992316 1992316   -99   27619   15205   15205   12488 21502  0.2903    5238   689.3 0.551   4.6     6   150   422   726   457   269     8     0    92     1   250     0   357     0    65   257   209   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19798  19798      0      0  226878  226878     -99     69.2     41.2     60.5    184.1     38.1     22.7     33.3    101.4    110.5     77.4     60.8     42.6   186  25.7  11.3  25.2  13.1  380.0  399.4  670.8  214.0  456.9
      187      7  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_14              FNYCO001 GRRD9301 KS00000005 1993061 1993130 1993139 1993214 1993309 1993309   -99   26934   15448   15448   11557 20951  0.2876    5372   706.8 0.574   4.4     6   150   511   738   428   310     6    25   147     1   250     0   341     0    66   258   209   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19807  19807      0      0  226805  226805     -99     68.2     43.0     63.0    179.6     39.1     24.6     36.1    103.0    107.7     79.0     61.8     45.3   179  26.8  11.9  26.0  13.2  380.0  395.0  627.0  199.2  427.8
      188      7  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_14              FNYCO001 GRRD9401 KS00000005 1994061 1994130 1994137 1994208 1994289 1994289   -99   25577   14101   14101   11548 19595  0.2597    5430   714.4 0.551   4.4     7   175   432   745   472   273     5    12    96     1   250     0   302     0    99   212   177   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19809  19809      0      0  226887  226887     -99     71.2     38.8     54.2    146.2     39.3     21.4     29.9     80.6    102.3     84.7     56.4     46.7   159  30.1  13.5  27.8  13.5  380.0  359.1  658.6  187.3  472.0
      189      7  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_14              FNYCO001 GRRD9501 KS00000005 1995061 1995130 1995140 1995223 1995305 1995305   -99   19096    8137    8137   11033 12677  0.1505    5405   711.2 0.426   4.6     6   150   521   690   347   343    12   104   119     1   250     0   274     4   124   204   135   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19799  19799      0      0  226560  226560     -99     48.9     31.7     55.0    127.3     20.8     13.5     23.4     54.2     76.4     69.7     32.5     29.7   175  27.9  11.5  25.7  13.2  380.0  390.5  603.0  255.7  347.3
      190      7  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_14              FNYCO001 GRRD9601 KS00000005 1996061 1996130 1996138 1996212 1996301 1996301   -99   29362   17406   17406   12030 23211  0.3186    5463   718.8 0.593   4.5     6   150   457   704   484   220     8    10   139     1   250     0   348     1    65   262   219   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19799  19799      0      0  226718  226718     -99     69.9     46.0     60.7    195.7     41.4     27.3     36.0    116.0    117.4     84.4     69.6     50.0   171  27.8  12.4  26.2  13.3  380.0  420.0  638.7  154.9  483.8
      191      7  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_14              FNYCO001 GRRD9701 KS00000005 1997061 1997130 1997138 1997213 1997283 1997283   -99   23460   12389   12389   11140 16278  0.3127    3962   521.3 0.528   4.2     5   125   513   723   473   250    32    50    90     1   250     0   336     3    70   241   194   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19800  19800      0      0  226650  226650     -99     50.5     35.7     49.6    187.7     26.7     18.9     26.2     99.1     93.8     69.8     49.6     36.9   153  29.4  14.6  27.2  13.6  380.0  464.3  656.7  185.4  473.3
      192      7  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_14              FNYCO001 GRRD9801 KS00000005 1998061 1998130 1998137 1998200 1998259 1998259   -99   22111   12181   12181    9982 16106  0.2570    4740   623.7 0.551   3.1     3    75   420   644   396   248     3    15    97     1   250     0   308     0    76   244   204   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19814  19814      0      0  226662  226662     -99     74.0     40.7     55.8    294.8     40.7     22.4     30.7    162.4     88.4     71.8     48.7     39.5   129  32.0  15.5  29.5  13.9  380.0  299.0  542.9  147.8  396.5
      193      7  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_14              FNYCO001 GRRD9901 KS00000005 1999061 1999130 1999139 1999211 1999288 1999288   -99   22483   11859   11859   10695 16682  0.2351    5043   663.6 0.527   4.4     6   150   516   733   396   338    15    49   123     1   250     0   280     3   117   205   165   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19805  19805      0      0  226722  226722     -99     58.3     37.2     56.8    149.9     30.7     19.6     30.0     79.1     89.9     80.3     47.4     42.4   158  29.0  13.7  27.0  13.5  380.0  385.9  603.9  208.3  395.7
      194      7  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_14              FNYCO001 GRRD0001 KS00000005 2000061 2000130 2000137 2000209 2000266 2000266   -99   17055    7370    7370    9753 11411  0.1500    4913   646.4 0.432   3.9     6   150   349   570   332   238     3    70   111     1   250     0   259     1   125   194   135   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19810  19810      0      0  226636  226636     -99    105.4     38.8     51.4    113.7     45.6     16.8     22.2     49.1     68.2     65.8     29.5     28.5   136  32.9  15.4  29.0  13.8  380.0  161.8  439.3  109.6  331.6
      195      7  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_14              FNYCO001 GRRD0101 KS00000005 2001061 2001130 2001136 2001208 2001272 2001272   -99   20288   11688   11688    8666 14989  0.2571    4547   598.3 0.576   3.7     6   150   470   723   421   301    21   105    24     1   250     0   236     6   137   169   137   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19821  19821      0      0  226908  226908     -99     56.2     32.9     48.2    135.3     32.4     18.9     27.7     77.9     81.2     86.0     46.8     49.5   142  31.9  15.2  28.8  13.8  380.0  360.7  617.3  197.8  421.2
      196      7  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_14              FNYCO001 GRRD0201 KS00000005 2002061 2002130 2002139 2002208 2002275 2002275   -99   17120    8452    8452    8733 10611  0.2708    3121   410.6 0.494   3.6     7   175   239   559   361   198     0     0   105     1   250     0   281     0   104   210   148   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19814  19814      0      0  226825  226825     -99     90.7     34.4     47.5     97.8     44.8     17.0     23.4     48.3     68.5     60.9     33.8     30.1   145  31.4  15.3  28.2  13.7  380.0  188.8  497.7  138.9  360.7
      197      7  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_14              FNYCO001 GRRD0301 KS00000005 2003061 2003130 2003138 2003210 2003283 2003283   -99   17652   10003   10003    7707 12309  0.3022    3310   435.6 0.567   3.2     7   175   382   659   345   314     4    33   111     1   250     0   288     1   102   222   173   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19807  19807      0      0  226709  226709     -99     63.6     31.6     51.2    100.9     36.0     17.9     29.0     57.2     70.6     61.3     40.0     34.7   153  30.2  14.1  27.7  13.6  380.0  277.5  558.5  215.3  344.7
      198      7  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_14              FNYCO001 GRRD0401 KS00000005 2004061 2004130 2004139 2004216 2004307 2004307   -99   29596   17400   17400   12271 23268  0.3119    5580   734.2 0.588   4.6     4   100   576   758   514   244    13    48   119     1   250     0   371     2    57   271   223   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19787  19787      0      0  226577  226577     -99     63.2     44.9     57.6    296.0     37.1     26.4     33.9    174.0    118.4     79.8     69.6     46.9   177  28.1  12.4  26.2  13.2  380.0  468.4  659.4  145.9  513.6
      199      7  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_14              FNYCO001 GRRD0501 KS00000005 2005061 2005130 2005138 2005207 2005271 2005271   -99   21878   10903   10903   11046 14076  0.2710    4023   529.3 0.498   4.3     5   125   344   674   433   241     2     5    46     1   250     0   273     0   119   197   151   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19809  19809      0      0  226778  226778     -99     73.0     36.3     50.5    175.0     36.4     18.1     25.2     87.2     87.5     80.1     43.6     39.9   141  31.6  15.0  28.8  13.8  380.0  299.8  603.3  172.2  433.4
      200      7  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_14              FNYCO001 GRRD0601 KS00000005 2006061 2006130 2006139 2006207 2006277 2006277   -99   25304   14886   14886   10495 18388  0.2899    5135   675.6 0.588   4.7     6   150   386   720   488   232     3     0    67     1   250     0   309     0    99   226   189   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19798  19798      0      0  226681  226681     -99     83.0     40.4     51.8    168.7     48.8     23.8     30.5     99.2    101.2     81.9     59.5     48.2   147  31.5  14.9  28.3  13.7  380.0  304.8  626.5  140.5  488.1
      201      7  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_14              FNYCO001 GRRD0701 KS00000005 2007061 2007130 2007137 2007210 2007270 2007270   -99   17728    8158    8158    9634 11317  0.1949    4185   550.7 0.460   3.9     5   125   367   620   361   259     4    14   113     1   250     0   282     0   107   210   145   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19809  19809      0      0  226659  226659     -99     71.1     35.8     49.1    141.8     32.7     16.5     22.6     65.3     70.9     62.9     32.6     28.9   140  31.5  15.4  28.9  13.8  380.0  249.3  495.3  136.8  360.8
      202      7  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_14              FNYCO001 GRRD0801 KS00000005 2008061 2008130 2008140 2008210 2008285 2008285   -99   20553   12026   12026    8593 14479  0.3304    3640   479.0 0.585   4.0     7   175   296   658   422   236     1     0    62     1   250     0   296     0    96   209   174   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19816  19816      0      0  226997  226997     -99     97.0     36.0     48.7    117.4     56.8     21.0     28.5     68.7     82.2     69.4     48.1     40.6   155  30.2  13.9  27.7  13.6  380.0  211.8  571.6  150.9  422.2
      203      7  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_14              FNYCO001 GRRD0901 KS00000005 2009061 2009130 2009139 2009208 2009292 2009292   -99   23572   13873   13873    9759 18651  0.2736    5071   667.2 0.589   3.7     7   175   474   721   422   299    11    50   118     1   250     0   302     1    92   224   190   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19814  19814      0      0  226974  226974     -99     75.0     39.3     55.9    134.7     44.2     23.1     32.9     79.3     94.3     78.1     55.5     45.9   162  28.3  12.5  26.5  13.5  380.0  314.1  599.6  177.7  421.9
      204      8  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_16              FNYCO001 GRRD8101 KS00000005 1981061 1981130 1981143 1981212 1981289 1981289   -99   25130   14724   14724   10471 19909  0.2626    5606   737.7 0.586   3.8     6   150   396   688   421   267     2    17    93     1   250     0   300     1    98   226   199   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19807  19807      0      0  226816  226816     -99     90.6     43.1     59.7    167.5     53.1     25.2     35.0     98.2    100.5     83.8     58.9     49.1   159  28.7  13.7  27.0  13.5  380.0  277.3  583.6  163.5  420.6
