Well_ID,Soil_Type
1319,KSFC000007
1320,KSFC000007
1321,KSFC000007
1322,KSFC000007
1323,KSFC000007
1324,KSFC000007
1325,KSFC000007
1326,KSFC000007
1327,KSFC000007
1328,KSFC000007
1329,KSFC000007
1330,KSFC000007
1331,KSFC000007
1332,KSFC000007
1333,KSFC000007
1334,KSFC000007
1335,KSFC000007
1336,KSFC000007
1337,KSFC000007
1338,KSFC000007
1339,KSFC000007
1340,KSFC000007
1341,KSFC000007
1342,KSFC000007
1343,KSFC000007
1344,KSFC000007
1345,KSFC000007
1346,KSFC000007
1347,KSFC000007
1348,KSFC000007
1349,KSFC000007
1350,KSFC000007
1351,KSFC000007
1352,KSFC000007
1353,KSFC000007
1354,KSFC000007
1355,KSFC000007
1356,KSFC000007
1357,KSFC000007
1358,KSFC000007
1359,KSFC000007
1360,KSFC000007
1361,KSFC000007
1362,KSFC000007
1363,KSFC000007
1364,KSFC000007
1365,KSFC000007
1366,KSFC000007
1367,KSFC000007
1368,KSFC000007
1369,KSFC000007
1370,KSFC000007
1371,KSFC000007
1372,KSFC000007
1373,KSFC000007
1374,KSFC000007
1375,KSFC000007
1376,KSFC000007
1377,KSFC000007
1378,KSFC000007
1379,KSFC000007
1380,KSFC000007
1381,KSFC000007
1382,KSFC000007
1383,KSFC000007
1384,KSFC000007
1385,KSFC000007
1386,KSFC000007
1387,KSFC000007
1388,KSFC000007
1389,KSFC000007
1390,KSFC000007
1391,KSFC000007
1392,KSFC000007
1393,KSFC000007
1394,KSFC000007
1395,KSFC000007
1396,KSFC000007
1397,KSFC000007
1398,KSFC000007
1399,KSFC000007
1400,KSFC000007
1401,KSFC000007
1402,KSFC000007
1403,KSFC000007
1404,KSFC000007
1405,KSFC000007
1406,KSFC000007
1407,KSFC000007
1408,KSFC000007
1409,KSFC000007
1410,KSFC000007
1411,KSFC000007
1412,KSFC000007
1413,KSFC000007
1414,KSFC000007
1415,KSFC000007
1416,KSFC000007
1417,KSFC000007
1418,KSFC000007
1419,KSFC000007
1420,KSFC000007
1421,KSFC000007
1422,KSFC000007
1423,KSFC000007
1424,KSFC000007
1425,KSFC000007
1426,KSFC000007
1427,KSFC000007
1428,KSFC000007
1429,KSFC000007
1430,KSFC000007
1431,KSFC000007
1432,KSFC000007
1433,KSFC000007
1434,KSFC000007
1435,KSFC000007
1436,KSFC000007
1437,KSFC000007
1438,KSFC000007
1439,KSFC000007
1440,KSFC000007
1441,KSFC000007
1442,KSFC000007
1443,KSFC000007
1444,KSFC000007
1445,KSFC000007
1446,KSFC000007
1447,KSFC000007
1448,KSFC000007
1449,KSFC000007
1450,KSFC000007
1451,KSFC000007
1452,KSFC000007
1453,KSFC000007
1454,KSFC000007
1455,KSFC000007
1456,KSFC000007
1457,KSFC000007
1458,KSFC000007
1459,KSFC000007
1460,KSFC000007
1461,KSFC000007
1462,KSFC000007
1463,KSFC000007
1464,KSFC000007
1465,KSFC000007
1466,KSFC000007
1467,KSFC000007
1468,KSFC000007
1469,KSFC000007
1470,KSFC000007
1471,KSFC000007
1472,KSFC000007
1473,KSFC000007
1474,KSFC000007
1475,KSFC000007
1476,KSFC000007
1477,KSFC000007
1478,KSFC000007
1479,KSFC000007
1480,KSFC000007
1481,KSFC000007
1482,KSFC000007
1483,KSFC000007
1484,KSFC000007
1485,KSFC000007
1486,KSFC000007
1487,KSFC000007
1488,KSFC000007
1489,KSFC000007
1490,KSFC000007
1491,KSFC000007
1492,KSFC000007
1493,KSFC000007
1494,KSFC000007
1495,KSFC000007
1496,KSFC000007
1497,KSFC000007
1498,KSFC000007
1499,KSFC000007
1500,KSFC000007
1501,KSFC000007
1502,KSFC000007
1503,KSFC000007
1504,KSFC000007
1505,KSFC000007
1506,KSFC000007
1507,KSFC000007
1508,KSFC000007
1509,KSFC000007
1510,KSFC000007
1511,KSFC000007
1512,KSFC000007
1513,KSFC000007
1514,KSFC000007
1515,KSFC000007
1516,KSFC000007
1517,KSFC000007
1518,KSFC000007
1519,KSFC000007
1520,KSFC000007
1521,KSFC000007
1522,KSFC000007
1523,KSFC000007
1524,KSFC000007
1525,KSFC000007
1526,KSFC000007
1527,KSFC000007
1528,KSFC000007
1529,KSFC000007
1530,KSFC000007
1531,KSFC000007
1532,KSFC000007
1533,KSFC000007
1534,KSFC000007
1535,KSFC000007
1536,KSFC000007
1537,KSFC000007
1538,KSFC000007
1539,KSFC000007
1540,KSFC000007
1541,KSFC000007
1542,KSFC000007
1543,KSFC000007
1544,KSFC000007
1545,KSFC000007
1546,KSFC000007
1547,KSFC000007
1548,KSFC000007
1549,KSFC000007
1550,KSFC000007
1551,KSFC000007
1552,KSFC000007
1553,KSFC000007
1554,KSFC000007
1555,KSFC000007
1556,KSFC000007
1557,KSFC000007
1558,KSFC000007
1559,KSFC000007
1560,KSFC000007
1561,KSFC000007
1562,KSFC000007
1563,KSFC000007
1564,KSFC000007
1565,KSFC000007
1566,KSFC000007
1567,KSFC000007
1568,KSFC000007
1569,KSFC000007
1570,KSFC000007
1571,KSFC000007
1572,KSFC000007
1573,KSFC000007
1574,KSFC000007
1575,KSFC000007
1576,KSFC000007
1577,KSFC000007
1578,KSFC000007
1579,KSFC000007
1580,KSFC000007
1581,KSFC000007
1582,KSFC000007
1583,KSFC000007
1584,KSFC000007
1585,KSFC000007
1586,KSFC000007
1587,KSFC000007
1588,KSFC000007
1589,KSFC000007
1590,KSFC000007
1591,KSFC000007
1592,KSFC000007
1593,KSFC000007
1594,KSFC000007
1595,KSFC000007
1596,KSFC000007
1597,KSFC000007
1598,KSFC000007
1599,KSFC000007
1600,KSFC000007
1601,KSFC000007
1602,KSFC000007
1603,KSFC000007
1604,KSFC000007
1605,KSFC000007
1606,KSFC000007
1607,KSFC000007
1608,KSFC000007
1609,KSFC000007
1610,KSFC000007
1611,KSFC000007
1612,KSFC000007
1613,KSFC000007
1614,KSFC000007
1615,KSFC000007
1616,KSFC000007
1617,KSFC000007
1618,KSFC000007
1619,KSFC000007
1620,KSFC000007
1621,KSFC000007
1622,KSFC000007
1623,KSFC000007
1624,KSFC000007
1625,KSFC000007
1626,KSFC000007
1627,KSFC000007
1628,KSFC000007
1629,KSFC000007
1630,KSFC000007
1631,KSFC000007
1632,KSFC000007
1633,KSFC000007
1634,KSFC000007
1635,KSFC000007
1636,KSFC000007
1637,KSFC000007
1638,KSFC000007
1639,KSFC000007
1640,KSFC000007
1641,KSFC000007
1642,KSFC000007
1643,KSFC000007
1644,KSFC000007
1645,KSFC000007
1646,KSFC000007
1647,KSFC000007
1648,KSFC000007
1649,KSFC000007
1650,KSFC000007
1651,KSFC000007
1652,KSFC000007
1653,KSFC000007
1654,KSFC000007
1655,KSFC000007
1656,KSFC000007
1657,KSFC000007
1658,KSFC000007
1659,KSFC000007
1660,KSFC000007
1661,KSFC000007
1662,KSFC000007
1663,KSFC000007
1664,KSFC000007
1665,KSFC000007
1666,KSFC000007
1667,KSFC000007
1668,KSFC000007
1669,KSFC000007
1670,KSFC000007
1671,KSFC000007
1672,KSFC000007
1673,KSFC000007
1674,KSFC000007
1675,KSFC000007
1676,KSFC000007
1677,KSFC000007
1678,KSFC000007
1679,KSFC000007
1680,KSFC000007
1681,KSFC000007
1682,KSFC000007
1683,KSFC000007
1684,KSFC000007
1685,KSFC000007
1686,KSFC000007
1687,KSFC000007
1688,KSFC000007
1689,KSFC000007
1690,KSFC000007
1691,KSFC000007
1692,KSFC000007
1693,KSFC000007
1694,KSFC000007
1695,KSFC000007
1696,KSFC000007
1697,KSFC000007
1698,KSFC000007
1699,KSFC000007
1700,KSFC000007
1701,KSFC000007
1702,KSFC000007
1703,KSFC000007
1704,KSFC000007
1705,KSFC000007
1706,KSFC000007
1707,KSFC000007
1708,KSFC000007
1709,KSFC000007
1710,KSFC000007
1711,KSFC000007
1712,KSFC000007
1713,KSFC000007
1714,KSFC000007
1715,KSFC000007
1716,KSFC000007
1717,KSFC000007
1718,KSFC000007
1719,KSFC000007
1720,KSFC000007
1721,KSFC000007
1722,KSFC000007
1723,KSFC000007
1724,KSFC000007
1725,KSFC000007
1726,KSFC000007
1727,KSFC000007
1728,KSFC000007
1729,KSFC000007
1730,KSFC000007
1731,KSFC000007
1732,KSFC000007
1733,KSFC000007
1734,KSFC000007
1735,KSFC000007
1736,KSFC000007
1737,KSFC000007
1738,KSFC000007
1739,KSFC000007
1740,KSFC000007
1741,KSFC000007
1742,KSFC000007
1743,KSFC000007
1744,KSFC000007
1745,KSFC000007
1746,KSFC000007
1747,KSFC000007
1748,KSFC000007
1749,KSFC000007
1750,KSFC000007
1751,KSFC000007
1752,KSFC000007
1753,KSFC000007
1754,KSFC000007
1755,KSFC000007
1756,KSFC000007
1757,KSFC000007
1758,KSFC000007
1759,KSFC000007
1760,KSFC000007
1761,KSFC000007
1762,KSFC000007
1763,KSFC000007
1764,KSFC000007
1765,KSFC000007
1766,KSFC000007
1767,KSFC000007
1768,KSFC000007
1769,KSFC000007
1770,KSFC000007
1771,KSFC000007
1772,KSFC000007
1773,KSFC000007
1774,KSFC000007
1775,KSFC000007
1776,KSFC000007
1777,KSFC000007
1778,KSFC000007
1779,KSFC000007
1780,KSFC000007
1781,KSFC000007
1782,KSFC000007
1783,KSFC000007
1784,KSFC000007
1785,KSFC000007
1786,KSFC000007
1787,KSFC000007
1788,KSFC000007
1789,KSFC000007
1790,KSFC000007
1791,KSFC000007
1792,KSFC000007
1793,KSFC000007
1794,KSFC000007
1795,KSFC000007
1796,KSFC000007
1797,KSFC000007
1798,KSFC000007
1799,KSFC000007
1800,KSFC000007
1801,KSFC000007
1802,KSFC000007
1803,KSFC000007
1804,KSFC000007
1805,KSFC000007
1806,KSFC000007
1807,KSFC000007
1808,KSFC000007
1809,KSFC000007
1810,KSFC000007
1811,KSFC000007
1812,KSFC000007
1813,KSFC000007
1814,KSFC000007
1815,KSFC000007
1816,KSFC000007
1817,KSFC000007
1818,KSFC000007
1819,KSFC000007
1820,KSFC000007
1821,KSFC000007
1822,KSFC000007
1823,KSFC000007
1824,KSFC000007
1825,KSFC000007
1826,KSFC000007
1827,KSFC000007
1828,KSFC000007
1829,KSFC000007
1830,KSFC000007
1831,KSFC000007
1832,KSFC000007
1833,KSFC000007
1834,KSFC000007
1835,KSFC000007
1836,KSFC000007
1837,KSFC000007
1838,KSFC000007
1839,KSFC000007
1840,KSFC000007
1841,KSFC000007
1842,KSFC000007
1843,KSFC000007
1844,KSFC000007
1845,KSFC000007
1846,KSFC000007
1847,KSFC000007
1848,KSFC000007
1849,KSFC000007
1850,KSFC000007
1851,KSFC000007
1852,KSFC000007
1853,KSFC000007
1854,KSFC000007
1855,KSFC000007
1856,KSFC000007
1857,KSFC000007
1858,KSFC000007
1859,KSFC000007
1860,KSFC000007
1861,KSFC000007
1862,KSFC000007
1863,KSFC000007
1864,KSFC000007
1865,KSFC000007
1866,KSFC000007
1867,KSFC000007
1868,KSFC000007
1869,KSFC000007
1870,KSFC000007
1871,KSFC000007
1872,KSFC000007
1873,KSFC000007
1874,KSFC000007
1875,KSFC000007
1876,KSFC000007
1877,KSFC000007
1878,KSFC000007
1879,KSFC000007
1880,KSFC000007
1881,KSFC000007
1882,KSFC000007
1883,KSFC000007
1884,KSFC000007
1885,KSFC000007
1886,KSFC000007
1887,KSFC000007
1888,KSFC000007
1889,KSFC000007
1890,KSFC000007
1891,KSFC000007
1892,KSFC000007
1893,KSFC000007
1894,KSFC000007
1895,KSFC000007
1896,KSFC000007
1897,KSFC000007
1898,KSFC000007
1899,KSFC000007
1900,KSFC000007
1901,KSFC000007
1902,KSFC000007
1903,KSFC000007
1904,KSFC000007
1905,KSFC000007
1906,KSFC000007
1907,KSFC000007
1908,KSFC000007
1909,KSFC000007
1910,KSFC000007
1911,KSFC000007
1912,KSFC000007
1913,KSFC000007
1914,KSFC000007
1915,KSFC000007
1916,KSFC000007
1917,KSFC000007
1918,KSFC000007
1919,KSFC000007
1920,KSFC000007
1921,KSFC000007
1922,KSFC000007
1923,KSFC000007
1924,KSFC000007
1925,KSFC000007
1926,KSFC000007
1927,KSFC000007
1928,KSFC000007
1929,KSFC000007
1930,KSFC000007
1931,KSFC000007
1932,KSFC000007
1933,KSFC000007
1934,KSFC000007
1935,KSFC000007
1936,KSFC000007
1937,KSFC000007
1938,KSFC000007
1939,KSFC000007
1940,KSFC000007
1941,KSFC000007
1942,KSFC000007
1943,KSFC000007
1944,KSFC000007
1945,KSFC000007
1946,KSFC000007
