Well_ID,Soil_Type
13971,KSFC000004
13980,KSFC000007
14032,KSFC000006
14032,KSFC000006
14032,KSFC000006
14033,KSFC000004
14094,KSFC000007
14142,KSFC000007
14220,KSFC000002
14247,KSFC000002
14388,KSFC000006
14413,KSFC000006
14413,KSFC000007
14468,KSFC000002
14486,KSFC000005
14511,KSFC000007
14622,KSFC000004
14622,KSFC000004
14629,KSFC000002
14651,KSFC000001
14725,KSFC000007
14791,KSFC000004
14836,KSFC000007
14992,KSFC000001
15084,KSFC000007
15110,KSFC000001
15129,KSFC000006
15170,KSFC000004
15192,KSFC000007
15333,KSFC000004
15333,KSFC000004
15337,KSFC000001
15337,KSFC000001
15445,KSFC000004
15456,KSFC000004
15503,KSFC000002
15527,KSFC000002
15551,KSFC000004
15556,KSFC000007
15617,KSFC000003
15670,KSFC000001
15670,KSFC000001
15670,KSFC000001
15670,KSFC000001
15670,KSFC000001
15749,KSFC000006
15752,KSFC000005
15755,KSFC000001
15827,KSFC000004
15837,KSFC000002
15842,KSFC000007
15894,KSFC000006
15954,KSFC000004
15987,KSFC000003
16032,KSFC000004
16044,KSFC000007
16133,KSFC000006
16165,KSFC000001
16381,KSFC000006
16512,KSFC000001
16517,KSFC000007
16531,KSFC000007
16545,KSFC000004
16560,KSFC000007
16663,KSFC000003
16690,KSFC000007
16746,KSFC000002
16802,KSFC000007
16834,KSFC000004
16834,KSFC000004
16870,KSFC000004
16873,KSFC000004
16901,KSFC000006
16963,KSFC000007
17004,KSFC000004
17060,KSFC000007
17109,KSFC000007
17157,KSFC000006
17288,KSFC000007
17296,KSFC000006
17296,KSFC000004
17296,KSFC000006
17296,KSFC000004
17332,KSFC000007
17448,KSFC000004
17462,KSFC000004
17483,KSFC000007
17583,KSFC000004
17583,KSFC000004
17586,KSFC000007
17595,KSFC000007
17657,KSFC000007
17674,KSFC000005
17674,KSFC000006
17732,KSFC000002
17735,KSFC000006
17813,KSFC000007
17830,KSFC000005
17837,KSFC000001
17837,KSFC000004
17837,KSFC000004
17837,KSFC000006
17893,KSFC000007
17911,KSFC000006
17911,KSFC000003
17911,KSFC000004
17911,KSFC000004
17911,KSFC000003
17911,KSFC000004
17911,KSFC000005
17911,KSFC000005
17918,KSFC000001
17918,KSFC000006
17918,KSFC000006
17918,KSFC000006
17937,KSFC000001
17942,KSFC000006
18008,KSFC000002
18024,KSFC000007
18091,KSFC000006
18145,KSFC000001
18146,KSFC000004
18189,KSFC000005
18224,KSFC000002
18250,KSFC000007
18261,KSFC000002
18302,KSFC000006
18439,KSFC000006
18439,KSFC000006
18440,KSFC000006
18440,KSFC000004
18456,KSFC000004
18456,KSFC000004
18466,KSFC000007
18528,KSFC000004
18528,KSFC000004
18528,KSFC000004
18528,KSFC000004
18528,KSFC000004
18543,KSFC000007
18571,KSFC000004
